Category,Text
Very Bad,I feel like I'm drowning in sadness and can't find a way out.
Bad,Today has been a struggle; I'm overwhelmed and exhausted.
Neutral,Things are steady. Nothing particularly good or bad happened.
Good,I finished a project today and feel really accomplished.
Very Good,"Life feels amazing, and I'm so grateful for everything right now."
Very Bad,It's hard to find joy in anything anymore.
Bad,I'm constantly anxious about work deadlines and expectations.
Neutral,I feel tired but not unhappy; today was just another day.
Good,"I enjoyed a quiet evening with my family, and it felt wonderful."
Very Good,"I just got a promotion at work, and I couldn't be happier!"
Very Bad,I feel like everything is falling apart around me.
Bad,"I'm not feeling my best today, but I hope tomorrow will be better."
Neutral,Nothing eventful happened today. Just a normal day.
Good,"I spent some time reading my favorite book, and it was peaceful."
Very Good,I achieved a personal best in my workout today—feeling unstoppable!
Very Bad,I'm struggling to see the point of anything right now.
Bad,I'm stressed about an upcoming exam and can't seem to concentrate.
Neutral,I managed to finish my tasks for the day. Nothing special.
Good,"I made a new friend today, and it really lifted my spirits."
Very Good,"I got recognized for my hard work at school, and I feel so proud!"
Very Bad,I feel utterly alone and worthless; it's a tough day.
Bad,"My relationships feel strained, and I'm not sure how to fix things."
Neutral,I'm feeling okay but not particularly excited about anything.
Good,"I treated myself to something nice today, and it felt refreshing."
Very Good,I had an amazing day full of laughter and joy with my friends.
Very Bad,I can't stop worrying about my future; it feels so uncertain.
Bad,I'm feeling lost and unsure about what steps to take next in life.
Neutral,"I spent some time reflecting today—no big decisions, just thoughts."
Good,I managed to tick off all my goals for the day and feel great.
Very Good,Today was perfect. I feel so alive and connected to everything.
Very Bad,I'm overwhelmed by sadness and don't know how to escape this feeling.
Bad,I'm homesick and miss my family a lot.
Neutral,"I have a lot on my plate, but I’m managing to get through it."
Good,"I accomplished something I’ve been putting off, and it feels so good."
Very Good,I celebrated a big milestone today with my loved ones. It was amazing!
Very Bad,The stress of my studies feels unbearable; I'm on the edge.
Bad,"I'm constantly doubting myself, and it’s starting to take a toll."
Neutral,Today was a normal day with nothing out of the ordinary.
Good,I enjoyed a nice walk outside and felt so connected to nature.
Very Good,I finally reached a goal I've been working on for months! So proud!
Very Bad,"I feel like I’m a failure, and I’m letting everyone down."
Bad,I’m struggling to stay motivated with everything going on.
Neutral,I spent the day relaxing and catching up on some rest.
Good,I’m feeling positive after accomplishing something I care about.
Very Good,My day was filled with small joys that made it feel perfect.
Very Bad,I feel helpless and completely lost today.
Bad,"I’m not sleeping well, and it’s affecting my mood and energy."
Neutral,Today was fine. I spent most of it just getting through my routine.
Good,"I had a great conversation with an old friend, and it lifted my mood."
Very Good,I feel deeply happy and thankful for my life right now.
Very Bad,"We are all adults and we are allowed to post what we want, but for some reason I feel like my throat fell into my stomach. I found naked pictures of my best friend on the internet and I just feel numb."
Bad,"Every time after sunset, why must this heart be restless as if it can't accept the situation. But with this situation, you can't do anything, if you do it, it can only make things worse."
Very Good,I'm starting to feel wryly amused at the banal comedy of errors my life is turning into.
Neutral,Maybe it's possible to dream of Renhyuck dating for real.
Very Bad,I am just here right now because I do not want to be alone. I am alone. And I am so tired of hurting. I cannot do this. Alone.
Very Bad,Help me for ideas—simple healthy meals to make when you feel depressed. Simple meals when feeling depressed.
Bad,A little restless. A little restless. Always feel guilty. Sorry if I can't be the best as I've been :'(
Neutral,This brain is very strong to remember 'something about that moment.' I really understand that it can't be forgotten.
Bad,"Exam on Saturday. Saturday's Starting Presentation... On Going: CT. Place CSE Dept. Assignments.  Bad PRODUCTS HAHAHAHA... Awesome, still in sleep mode, but I'm nervous."
Very Good,I feel a world-class player in the Benzema mould would be fantastic.
Bad,"Some days, I don't think I'm doing well, so I feel like I'm really crying, scared, anxious, just sad. Until I think of this when I cry—does my fast break or not?"
Good,"I'm not one of those people who can bury all their feelings and anger just in a second, giving out a sweet smile even when in pain and anger."
Very Good,"I go to sleep, I feel as if I'm giving up precious time to do something else with my life."
Good,"I wasn't feeling that hot prior to Vineman, but with a little racin' and a lot of self-talk, I'm now in a better spot mentally and physically."
Very Good,I feel like I almost convinced myself this is going to be the pattern.
Good,I feel naughty just being this girl's friend.
Very Good,I got the feeling Brig is sincere and has a very strong desire to help others become successful both financially and also through building and strengthening relationships through Christianity.
Neutral,"Those who haven't been on FB, can you reply?"
Bad,"I'm nervous, I don't know why. I don't feel calm."
Very Good,I have turned that page. I feel like there is no way of getting back my irresponsible years of carefree college.
Neutral,I really want to see BTOB mix Blowin' up and Bull's Eye perform.
Very Good,I still feel it does the genre a disservice when stories are resolved artificially.
Neutral,"No need to complicate things anymore, people."
Bad,Sometimes it's your own thoughts that make you anxious and afraid to close your eyes until you don't sleep.
Very Bad,My mom made me go to a camp that she knows I hate. Now I hate most days. The only good time is at midnight where I can think to myself.
Neutral,God no longer gives you a test... You're the only one who throws a tantrum (:
Good,I feel gentle hands caress me with tender care across my curled shoulders and pulled towards embrace as the sun reaches toward my searching face.
Very Good,"I feel as a child, innocent feelings illustrating a dream."
Very Bad,Now I am bad8 and wasted too many opportunities. Wasted years not working on my dreams and creative ambitions.
Good,I am feeling a bit nostalgic today.
