category,text
Very Bad,I'm feeling lost and hopeless.
Bad,Today has been a really rough day.
Neutral,"Things are okay, but I'm feeling a bit down."
Good,I'm feeling motivated and optimistic.
Very Good,"Life is going great, and I'm feeling fantastic."
Very Bad,I'm struggling to find joy in anything.
Bad,I'm stressed out and overwhelmed.
Neutral,Nothing particularly good or bad happened today.
Good,I'm content and at peace with myself.
Very Good,I'm on top of the world and loving life.
Very Bad,I'm feeling like giving up.
Bad,"I'm feeling down, but I'll get through it."
Neutral,"Today was uneventful, neither good nor bad."
Good,I'm happy and enjoying the little things.
Very Good,Life couldn't be better; I'm ecstatic.
Very Good,I'm feeling so happy and alive!
Very Good,Got accepted into that internship program! So excited for the future.
Very Bad,I want to die i'll kill myself
Bad,I'm constantly worried and on edge.
Bad,Feeling discouraged after that bad exam grade.
Very Good,I feel full of joy and energy.
Very Bad,The pressure to succeed is getting to me. I feel like giving up
Neutral,confused about my career
Very Bad,i think i'll buy a gun so i'll just end it all
Bad,Missing home and feeling lonely. School feels overwhelming.
Neutral,no one cares but drank water today
Bad,I can't seem to focus or get anything done.
Very Bad,had a bad night of anxiety and looked into the link between urination and anxiety  every
Bad,bad relationship with my mother and siblings
Bad,everything seems useless now. I can't find happiness anywhere.
Bad,confused about my career and studies. I feel lost and alone.
Very Good,Today was an amazing day!
Bad,I can't sleep
Neutral,Been a lot busy lately. Too much workload trying to manage.
Very Bad,I hate my family so much abuse and trauma
Very Bad,School is making me feel so anxious and stressed. I'm having trouble sleeping.
Bad,how am i meant to change when change is the thing that pulls me down the most   mentalhealth  depression  anxiety
Good,I spent time with loved ones today and it felt great.
Bad,I just want to cry all the time.
Very Good,pretty good love my friends and family
Bad,who else cant sleep insomnia  anxiety
Bad,Everything feels like a struggle lately.
Very Bad,wish i was never born
Very Good,"I'm really satisfied, happy content"
Bad,stressed and cant focus
Neutral,"I'm feeling a bit drained, but I'll get through it."
Good,Feeling proud of myself for finishing that assignment on time.
Very Good,Aced that exam! Feeling confident and happy!
Good,I feel motivated and ready to take on the day
